"ano_refe";"mes_refe";"codi_enti";"nome_enti";"codi_rece";"desc_rece";"desc_forc";"valo_arre";"data_ulal";"desc_tpmo";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1321001100";"REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL";"0.100-Recursos Ordinarios";"39842.95";"2021-01-01 00:00:00";"Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1321001100";"REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL";"0.100-Recursos Ordinarios";"-584.72";"2021-01-01 00:00:00";"Estorno Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1728011100";"COTA-PARTE DO ICMS - PRINCIPAL";"0.100-Recursos Ordinarios";"-1859136.04";"2021-01-02 00:00:00";"Estorno Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1728011100";"COTA-PARTE DO ICMS - PRINCIPAL";"0.100-Recursos Ordinarios";"1859136.04";"2021-01-02 00:00:00";"Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1113031100";"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL";"0.100-Recursos Ordinarios";"61000000";"2021-01-04 00:00:00";"Previsao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011100";"IMPOSTO PREDIAL E TERRITORIAL URBANO - PRINCIPAL";"0.100-Recursos Ordinarios";"323597.15";"2021-01-04 00:00:00";"Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011100";"IMPOSTO PREDIAL E TERRITORIAL URBANO - PRINCIPAL";"0.100-Recursos Ordinarios";"-48262.24";"2021-01-04 00:00:00";"Estorno Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011100";"IMPOSTO PREDIAL E TERRITORIAL URBANO - PRINCIPAL";"0.100-Recursos Ordinarios";"80000000";"2021-01-04 00:00:00";"Previsao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011200";"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS";"0.100-Recursos Ordinarios";"3500000";"2021-01-04 00:00:00";"Previsao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011200";"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS";"0.100-Recursos Ordinarios";"15820.35";"2021-01-04 00:00:00";"Arrecadacao de Receita";
"2021";"1";"1";"Prefeitura Municipal de Joao Pessoa";"1118011300";"IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DIVIDA ATIVA";"0.100-Recursos Ordinarios";"247237.89";"2021-01-04 00:00:00";"Arrecadacao de Receita";
